Date,Open,High,Low,Close,Adj Close,Volume
2014-10-20,25.090000,25.270000,25.090000,25.190001,21.551249,22600
2014-10-27,25.028000,25.750000,25.028000,25.750000,22.030357,27900
2014-11-03,26.049999,26.049999,25.459999,25.459999,21.782248,3300
2014-11-10,25.459999,25.760000,25.250000,25.250000,21.602583,1200
2014-11-17,25.250000,26.580000,25.250000,26.490000,22.663462,3400
2014-11-24,27.340000,27.340000,26.809999,27.330000,23.382122,4200
2014-12-01,28.010000,29.000000,26.950001,27.260000,23.322233,1400
2014-12-08,27.100000,27.100000,26.410000,26.410000,22.595016,1700
2014-12-15,24.400000,26.500000,24.400000,26.450001,22.629242,3000
2014-12-22,26.590000,26.750000,26.590000,26.600000,22.757574,1400
2014-12-29,26.480000,26.549999,26.163000,26.163000,22.383694,1300
2015-01-05,25.850000,25.850000,24.879999,25.580000,21.884914,4000
2015-01-12,26.000000,26.120001,25.290001,26.120001,22.346910,5600
2015-01-19,26.209999,26.870001,26.091999,26.230000,22.441021,201200
2015-01-26,26.459999,27.000000,26.407000,26.500000,22.672016,89500
2015-02-02,27.059999,27.889999,26.732000,26.830000,22.954350,182700
2015-02-09,26.320000,28.000000,26.320000,27.549999,23.570343,100500
2015-02-16,27.879999,27.944000,27.200001,27.860001,23.835558,87400
2015-02-23,28.030001,28.110001,27.660000,28.021000,23.973307,98300
2015-03-02,28.559999,28.590000,27.400000,27.490000,23.519011,84000
2015-03-09,28.190001,28.190001,27.040001,27.549999,23.570343,122600
2015-03-16,27.820000,28.730000,27.670000,28.650000,24.511444,350000
2015-03-23,28.650000,29.180000,28.070000,28.450001,24.340336,124900
2015-03-30,28.930000,29.200001,28.100000,28.650000,24.511444,176400
2015-04-06,28.629999,29.150000,28.450001,28.860001,24.691113,124500
2015-04-13,28.959999,28.959999,27.533001,27.721001,23.716640,110100
2015-04-20,27.719999,28.260000,27.600000,28.110001,24.049450,344800
2015-04-27,28.309999,28.812000,27.799999,28.240000,24.160671,333900
2015-05-04,28.580000,28.830000,27.730000,28.740000,24.588446,307300
2015-05-11,28.660000,28.820000,28.049999,28.730000,24.579889,29300
2015-05-18,28.500000,28.959999,28.374001,28.454000,24.343760,35700
2015-05-25,28.120001,28.120001,27.330000,27.389999,23.433455,66800
2015-06-01,27.530001,28.211000,27.021000,27.146999,23.225559,78400
2015-06-08,27.190001,28.150000,26.730000,27.540001,23.561787,59800
2015-06-15,27.469999,28.014999,26.750000,27.309999,23.365011,73900
2015-06-22,28.430000,28.820000,27.556000,27.750000,23.741451,559400
2015-06-29,26.900000,27.190001,26.370001,26.590000,22.971827,328300
2015-07-06,26.270000,27.500000,25.290001,27.420000,23.688885,125900
2015-07-13,27.889999,27.889999,27.148001,27.403999,23.675058,129800
2015-07-20,27.360001,27.740000,26.719999,26.719999,23.084135,73500
2015-07-27,26.629999,26.930000,26.290001,26.750000,23.110050,46800
2015-08-03,26.870001,27.354000,26.870001,27.250000,23.542015,11500
2015-08-10,27.420000,27.590000,26.330999,26.486000,22.881975,56300
2015-08-17,26.200001,26.299999,24.497999,24.552000,21.211140,51000
2015-08-24,23.350000,25.190001,22.850000,24.879999,21.494507,80900
2015-08-31,24.670000,24.874001,24.010000,24.129999,20.846561,31600
2015-09-07,24.660000,25.320000,24.660000,24.816999,21.440079,9100
2015-09-14,24.770000,25.430000,24.150000,24.150000,20.863838,9300
2015-09-21,24.110001,24.139999,22.813999,23.228001,20.067305,48700
2015-09-28,23.010000,23.430000,22.770000,23.430000,20.241814,54700
2015-10-05,23.796000,24.760000,23.670000,24.690001,21.330360,29800
2015-10-12,24.700001,24.780001,24.430000,24.763000,21.393431,5600
2015-10-19,24.879999,25.780001,24.719999,25.740000,22.237484,32400
2015-10-26,25.840000,25.920000,25.420000,25.641001,22.151955,10600
2015-11-02,25.959999,26.033001,25.350000,25.490000,22.021500,15700
2015-11-09,25.420000,25.420000,24.700001,24.768999,21.398613,10300
2015-11-16,24.770000,25.780001,24.770000,25.462000,21.997313,11100
2015-11-23,25.370001,25.900000,25.139999,25.830000,22.315241,6800
2015-11-30,25.910000,25.969999,25.139999,25.441000,21.979172,49100
2015-12-07,25.559999,25.559999,24.500000,24.500000,21.166216,9200
2015-12-14,24.400000,25.170000,24.219999,24.709999,21.347639,26300
2015-12-21,24.760000,25.200001,24.700001,25.170000,21.745045,8400
